"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"CROMPTON","410.00","423.45","409.50","409.70","421.00","11.30","2.76","22,31,484","93.53","436.50","261.25","3.11","43.25"
"BEML","5,200.00","5,394.80","5,147.00","5,059.95","5,199.00","139.05","2.75","17,89,994","940.75","5,488.00","1,519.00","27.28","228.15"
"SONACOMS","656.45","681.90","656.00","656.90","674.85","17.95","2.73","15,06,819","101.50","718.85","488.10","-1.14","22.72"
"CHENNPETRO","962.00","1,006.00","958.05","947.75","973.00","25.25","2.66","20,89,596","204.43","1,122.50","347.90","-0.62","114.64"
"LXCHEM","270.15","278.00","265.00","268.45","275.55","7.10","2.64","33,10,331","90.42","320.95","220.00","11.53","3.05"
"RAILTEL","524.00","559.40","523.05","519.75","532.80","13.05","2.51","2,13,75,897","1,156.99","559.40","128.85","37.26","291.08"
"BAJAJHLDNG","9,765.00","9,935.00","9,634.25","9,667.60","9,910.00","242.40","2.51","91,945","90.19","9,980.00","6,627.90","15.40","35.20"
"GILLETTE","7,203.55","7,449.00","7,152.75","7,203.55","7,380.00","176.45","2.45","22,191","16.31","7,999.00","5,055.00","-4.20","42.05"
"CESC","169.60","178.80","169.00","168.02","172.00","3.98","2.37","1,42,88,074","248.18","178.80","72.80","14.30","123.88"
"POLYMED","2,076.00","2,150.00","2,067.05","2,075.85","2,125.00","49.15","2.37","6,82,714","144.01","2,150.00","1,075.00","13.93","80.84"
"GLAND","1,845.00","1,892.00","1,834.70","1,839.75","1,883.10","43.35","2.36","3,37,309","63.25","2,194.00","1,042.00","-0.97","75.86"
"LINDEINDIA","9,050.00","9,333.00","8,894.80","9,011.20","9,223.00","211.80","2.35","1,39,261","128.25","9,935.05","4,287.05","5.85","107.21"
"OIL","492.90","517.95","490.05","489.50","501.00","11.50","2.35","53,73,870","270.41","517.95","166.17","-20.43","93.33"
"ITC","435.15","444.55","433.65","433.65","443.80","10.15","2.34","2,05,21,107","902.44","499.70","399.35","-1.25","-7.42"
"KAYNES","4,340.00","4,574.15","4,251.60","4,238.80","4,338.00","99.20","2.34","5,25,104","230.14","4,574.15","1,556.95","27.13","163.98"
"AFFLE","1,348.70","1,426.25","1,345.00","1,339.40","1,369.60","30.20","2.25","12,22,278","170.40","1,426.25","988.15","11.50","26.75"
"HDFCLIFE","609.00","622.05","608.60","607.35","621.00","13.65","2.25","68,00,857","418.43","710.60","511.40","7.89","-7.71"
"EIDPARRY","760.55","790.00","755.15","759.05","776.00","16.95","2.23","12,11,541","94.41","833.00","452.35","7.61","62.61"
"POLICYBZR","1,381.15","1,438.40","1,380.30","1,379.45","1,410.00","30.55","2.21","15,50,003","218.34","1,543.00","661.30","6.76","96.40"
"ANANDRATHI","4,025.00","4,120.00","3,970.15","4,010.25","4,099.00","88.75","2.21","64,789","26.48","4,299.95","896.00","2.65","339.29"
"360ONE","1,034.95","1,034.95","970.00","964.70","984.90","20.20","2.09","7,76,000","76.53","1,065.00","472.85","20.61","100.17"
"UBL","2,087.40","2,133.70","2,070.00","2,072.60","2,115.95","43.35","2.09","4,43,325","93.15","2,182.45","1,470.05","0.07","37.77"
"ERIS","1,016.90","1,032.85","1,009.00","1,011.95","1,032.85","20.90","2.07","77,548","7.93","1,090.00","693.00","1.76","40.19"
"HUDCO","330.05","349.70","329.30","328.45","335.15","6.70","2.04","3,99,98,055","1,357.53","349.70","57.75","32.12","463.38"
"SUMICHEM","491.00","499.85","488.15","489.55","499.50","9.95","2.03","17,22,945","85.60","517.70","336.10","1.40","13.07"
"RBA","114.04","118.90","113.86","113.53","115.80","2.27","2.00","1,84,00,936","214.15","137.70","91.50","1.91","2.84"
"AWL","344.95","347.00","338.10","332.90","339.30","6.40","1.92","28,50,289","97.29","422.70","285.80","-3.51","-17.58"
"SBICARD","723.25","740.00","714.35","721.95","735.50","13.55","1.88","20,67,366","151.03","892.85","647.95","0.89","-13.71"
"ROUTE","1,765.10","1,819.00","1,751.25","1,765.20","1,798.00","32.80","1.86","2,32,919","41.86","1,930.00","1,386.05","18.09","11.67"
"IRCTC","1,030.00","1,051.75","1,027.80","1,026.20","1,045.20","19.00","1.85","60,83,179","633.99","1,138.90","614.35","4.96","62.72"
"UNITDSPR","1,257.00","1,279.00","1,257.00","1,254.15","1,277.30","23.15","1.85","21,22,654","269.64","1,334.85","905.20","-","-"
"BLUEDART","8,260.00","8,475.00","8,196.20","8,226.95","8,371.00","144.05","1.75","20,964","17.58","8,475.00","5,486.60","11.37","12.61"
"SUNDARMFIN","4,608.00","4,692.00","4,532.00","4,597.50","4,675.00","77.50","1.69","54,509","25.05","4,998.00","2,493.10","1.11","73.84"
"ENGINERSIN","269.70","282.00","266.15","268.50","272.95","4.45","1.66","1,61,72,252","445.38","289.90","116.20","15.53","120.53"
"BATAINDIA","1,508.00","1,536.00","1,490.00","1,507.65","1,532.00","24.35","1.62","4,97,122","75.48","1,771.45","1,269.00","2.85","-9.58"
"RITES","765.15","796.90","765.00","762.70","774.80","12.10","1.59","58,72,390","459.35","825.95","364.85","17.19","101.83"
"COLPAL","2,920.50","2,964.95","2,906.45","2,910.50","2,954.90","44.40","1.53","2,84,372","83.71","3,069.05","1,752.25","-1.79","64.61"
"BAYERCROP","6,568.00","6,679.45","6,568.00","6,567.25","6,665.00","97.75","1.49","14,753","9.80","6,976.90","4,350.85","15.23","41.50"
"HAPPYFORGE","1,270.00","1,290.00","1,260.00","1,262.50","1,281.25","18.75","1.49","59,126","7.55","1,299.95","813.20","9.13","-"
"TRIVENI","399.00","410.80","395.10","395.15","401.00","5.85","1.48","9,37,463","37.82","427.00","267.50","18.22","40.65"
"DEEPAKFERT","759.90","774.95","747.55","757.70","768.10","10.40","1.37","16,33,742","125.18","780.00","450.00","30.91","23.33"
"HAL","5,580.00","5,662.45","5,560.50","5,552.00","5,628.00","76.00","1.37","35,36,842","1,985.28","5,662.45","1,767.80","17.00","47.68"
"NAM-INDIA","652.05","675.00","652.05","658.20","667.10","8.90","1.35","11,08,576","73.95","678.30","280.35","8.34","129.74"
"HINDUNILVR","2,560.00","2,595.00","2,536.25","2,547.00","2,581.00","34.00","1.33","28,18,809","726.73","2,769.65","2,172.05","-1.19","-5.60"
"WIPRO","535.95","543.00","535.00","535.10","542.20","7.10","1.33","60,88,180","328.77","548.80","375.05","10.43","35.18"
"3MINDIA","38,629.00","39,398.45","38,370.00","38,768.10","39,276.00","507.90","1.31","7,139","27.82","40,856.50","26,628.00","14.86","43.60"
"BORORENEW","516.05","538.00","511.20","516.25","523.00","6.75","1.31","11,96,288","62.95","669.35","391.05","4.91","4.11"
"EPL","230.00","238.30","226.90","228.78","231.75","2.97","1.30","33,81,361","78.77","238.30","169.60","25.63","5.50"
"KANSAINER","268.60","272.70","268.55","266.95","270.40","3.45","1.29","6,84,870","18.54","357.30","251.85","-3.97","-14.93"
"HCLTECH","1,528.00","1,540.00","1,506.20","1,519.40","1,537.95","18.55","1.22","29,39,620","447.10","1,697.35","1,087.05","6.14","31.25"
"MAXHEALTH","925.00","936.00","914.90","913.80","924.90","11.10","1.21","21,48,540","199.38","979.90","508.50","10.48","49.83"
"GUJGASLTD","649.00","655.55","639.00","644.40","652.00","7.60","1.18","7,12,832","46.22","663.40","397.05","9.46","35.12"
"NBCC","189.51","197.00","185.20","188.61","190.80","2.19","1.16","4,87,05,167","936.41","197.00","39.60","30.89","369.76"
"LALPATHLAB","2,889.60","2,939.10","2,868.00","2,885.00","2,918.00","33.00","1.14","3,62,483","105.17","2,939.10","1,943.70","3.10","22.27"
"FEDERALBNK","187.10","189.30","185.27","186.19","188.30","2.11","1.13","1,74,05,153","326.76","189.30","126.45","12.81","37.77"
"ITI","311.20","320.50","310.60","310.30","313.80","3.50","1.13","19,67,944","62.02","384.30","106.40","4.32","185.60"
"AJANTPHARM","2,235.80","2,298.25","2,233.20","2,266.60","2,291.95","25.35","1.12","1,15,831","26.47","2,540.00","1,386.60","-6.37","59.47"
"COROMANDEL","1,599.00","1,637.50","1,582.30","1,592.75","1,610.50","17.75","1.11","5,81,775","94.00","1,688.45","921.25","14.41","65.63"
"TATACONSUM","1,138.00","1,164.00","1,136.00","1,137.40","1,150.00","12.60","1.11","19,58,676","225.51","1,269.00","822.00","0.15","36.50"
"PGHH","16,614.30","16,927.00","16,500.00","16,614.30","16,792.00","177.70","1.07","4,445","7.46","19,250.00","14,440.00","-1.35","11.35"
"RATNAMANI","3,602.95","3,665.00","3,588.35","3,602.95","3,641.00","38.05","1.06","53,671","19.48","3,938.80","2,311.00","5.06","49.41"
"GLENMARK","1,338.10","1,366.95","1,335.25","1,338.15","1,351.60","13.45","1.01","9,15,961","123.73","1,366.95","661.00","12.06","94.15"
"NESTLEIND","2,574.15","2,620.00","2,561.45","2,574.15","2,600.00","25.85","1.00","7,24,276","188.09","2,769.30","2,145.00","2.87","-88.76"
"M&MFIN","302.20","305.35","298.00","300.50","303.50","3.00","1.00","19,16,725","57.90","345.00","237.35","6.39","-8.61"
"AEGISLOG","927.95","937.50","895.30","922.00","931.00","9.00","0.98","3,88,471","35.65","937.50","280.00","-","-"
"TATAMTRDVR","681.50","692.00","680.10","678.65","685.00","6.35","0.94","12,58,821","86.26","712.60","309.15","4.18","109.23"
"TATAMOTORS","1,005.00","1,016.60","996.20","993.65","1,002.90","9.25","0.93","1,33,12,085","1,339.01","1,065.60","588.55","2.39","60.73"
"NAUKRI","6,874.50","6,956.40","6,818.80","6,809.50","6,870.00","60.50","0.89","2,03,968","139.89","6,969.00","3,972.05","9.31","54.59"
"DOMS","2,269.65","2,365.00","2,253.20","2,251.25","2,270.00","18.75","0.83","2,83,653","65.44","2,365.00","1,225.60","18.44","-"
"EIHOTEL","432.00","435.00","424.55","429.35","432.90","3.55","0.83","4,67,402","20.15","502.20","203.30","-2.13","108.27"
"INFY","1,643.10","1,666.00","1,640.00","1,647.45","1,660.95","13.50","0.82","58,80,533","974.16","1,733.00","1,305.00","7.42","23.85"
"GODREJIND","902.00","916.45","894.00","893.05","900.00","6.95","0.78","11,74,321","105.58","990.00","468.50","9.63","78.95"
"RELIANCE","3,178.00","3,217.60","3,165.05","3,177.25","3,201.50","24.25","0.76","47,50,403","1,518.14","3,217.60","2,220.30","8.07","20.64"
"EXIDEIND","570.00","576.40","565.10","567.95","572.20","4.25","0.75","26,84,664","153.14","620.35","241.70","7.76","129.10"
"GODREJPROP","3,298.00","3,325.00","3,254.80","3,281.70","3,305.35","23.65","0.72","6,79,741","223.70","3,358.05","1,495.30","14.20","107.46"
"ELGIEQUIP","737.85","744.25","721.55","737.85","743.10","5.25","0.71","1,20,011","8.79","798.95","463.00","23.06","36.97"
"VOLTAS","1,452.75","1,479.00","1,439.05","1,452.75","1,462.95","10.20","0.70","15,37,206","223.72","1,560.00","745.00","0.09","91.09"
"WELSPUNLIV","152.45","153.99","150.50","151.45","152.50","1.05","0.69","15,52,132","23.69","171.25","92.80","10.35","-"
"SOLARINDS","12,238.75","12,300.00","11,950.05","12,160.65","12,241.00","80.35","0.66","89,757","108.93","12,539.25","3,453.35","30.83","231.61"
"RRKABEL","1,830.00","1,839.00","1,787.95","1,807.95","1,819.85","11.90","0.66","1,12,847","20.55","1,901.95","1,136.80","6.28","-"
"ATUL","6,759.90","6,840.00","6,660.10","6,756.00","6,800.00","44.00","0.65","55,080","37.43","7,589.90","5,174.85","15.52","-0.32"
"LUPIN","1,770.20","1,785.25","1,760.25","1,770.20","1,781.50","11.30","0.64","14,57,380","258.42","1,785.25","889.75","8.63","96.56"
"AAVAS","1,779.00","1,805.00","1,760.00","1,779.05","1,790.00","10.95","0.62","1,59,785","28.56","1,978.95","1,307.00","6.22","13.76"
"IGL","525.95","526.90","516.85","522.30","525.50","3.20","0.61","20,57,831","107.65","537.50","375.70","11.84","5.45"
"JSWENERGY","742.80","746.85","732.45","736.60","741.10","4.50","0.61","9,04,143","66.96","752.00","283.25","17.68","140.21"
"NIACL","276.25","290.00","268.50","273.84","275.50","1.66","0.61","79,51,633","223.21","324.70","115.20","23.91","130.80"
"NSLNISP","57.50","58.65","57.33","57.46","57.80","0.34","0.59","71,45,046","41.36","73.70","39.15","-2.94","31.64"
"MASTEK","2,840.00","2,889.80","2,775.00","2,838.70","2,855.00","16.30","0.57","1,02,612","29.09","3,145.00","1,937.00","1.73","44.86"
"THERMAX","5,655.75","5,839.95","5,620.50","5,631.05","5,662.95","31.90","0.57","2,11,014","121.31","5,839.95","2,231.85","7.75","147.64"
"KNRCON","362.45","362.60","352.05","355.05","357.00","1.95","0.55","10,09,966","36.05","407.00","236.75","-4.90","43.05"
"INOXWIND","161.00","162.00","155.05","158.80","159.65","0.85","0.54","1,03,54,979","164.18","177.00","41.51","5.73","-7.11"
"SJVN","143.30","147.50","142.00","142.17","142.88","0.71","0.50","3,03,88,072","438.59","170.50","44.10","6.61","196.81"
"MRPL","218.60","224.35","217.80","217.96","219.00","1.04","0.48","37,29,938","82.30","289.25","80.25","6.11","148.53"
"CARBORUNIV","1,707.00","1,790.00","1,681.05","1,690.40","1,698.25","7.85","0.46","4,53,069","79.10","1,841.15","1,025.60","4.21","41.19"
"DRREDDY","6,520.00","6,575.00","6,486.00","6,520.00","6,550.00","30.00","0.46","1,61,476","105.50","6,575.00","5,076.25","7.57","25.81"
"CAMS","3,753.05","3,795.10","3,733.30","3,765.30","3,766.00","17.20","0.46","88,145","33.18","3,890.00","2,220.15","10.48","64.71"
"PAGEIND","39,590.00","39,600.00","38,850.00","39,410.35","39,590.00","179.65","0.46","32,294","126.66","42,885.00","33,070.05","2.77","7.79"
"HSCL","405.20","408.20","401.00","403.30","405.00","1.70","0.42","8,37,718","33.95","418.50","125.50","17.84","212.76"
"SBFC","83.05","84.27","81.90","83.46","83.81","0.35","0.42","17,37,780","14.38","98.00","72.40","-1.35","-"
"RENUKA","48.25","49.39","47.50","48.09","48.29","0.20","0.42","1,76,03,014","85.18","57.25","36.55","11.84","10.05"
"COALINDIA","492.70","496.00","487.20","491.50","493.50","2.00","0.41","74,77,292","368.23","527.40","226.85","2.58","110.04"
"BANKINDIA","120.60","121.20","119.50","120.45","120.94","0.49","0.41","73,63,153","88.75","157.95","76.75","-0.50","51.03"
"ACC","2,670.10","2,708.25","2,661.50","2,669.50","2,680.00","10.50","0.39","3,59,425","96.48","2,844.00","1,762.65","6.82","49.01"
"SAIL","156.50","158.00","154.21","155.61","156.21","0.60","0.39","3,32,90,711","520.10","175.35","81.80","1.87","79.27"
"ADANIGREEN","1,759.95","1,765.45","1,729.00","1,754.30","1,761.00","6.70","0.38","4,90,893","85.71","2,174.10","815.55","-5.90","84.47"
"ABBOTINDIA","28,099.50","28,099.50","27,579.10","27,823.45","27,929.70","106.25","0.38","6,982","19.42","29,638.95","22,000.00","1.20","18.40"
"AUROPHARMA","1,305.10","1,327.70","1,285.75","1,303.55","1,308.45","4.90","0.38","14,86,444","193.57","1,327.70","720.55","3.04","74.83"
"AMBER","4,547.00","4,547.00","4,468.00","4,503.80","4,519.90","16.10","0.36","1,06,426","47.87","4,665.00","2,171.00","20.31","102.70"
"BHARTIARTL","1,431.00","1,438.85","1,423.15","1,429.70","1,434.55","4.85","0.34","32,61,797","467.75","1,536.25","847.05","0.31","64.25"
"INDUSINDBK","1,428.00","1,441.70","1,422.80","1,434.25","1,439.00","4.75","0.33","27,72,277","398.00","1,694.50","1,345.15","-3.88","5.68"
"EICHERMOT","4,758.95","4,775.00","4,716.00","4,737.30","4,752.55","15.25","0.32","5,42,470","257.65","4,976.00","3,160.00","-0.52","48.75"
"PNBHOUSING","802.65","803.00","782.60","792.60","795.00","2.40","0.30","18,20,880","144.20","913.70","559.00","6.18","35.92"
"HFCL","131.00","135.40","128.58","130.36","130.75","0.39","0.30","6,27,98,648","827.81","135.40","61.50","33.77","95.44"
"ICICIBANK","1,228.90","1,239.50","1,216.90","1,233.40","1,237.00","3.60","0.29","66,17,190","815.79","1,242.60","899.00","9.96","30.33"
"DEEPAKNTR","2,700.00","2,726.10","2,670.05","2,687.80","2,695.00","7.20","0.27","3,81,917","102.87","2,739.00","1,900.20","17.78","30.33"
"UJJIVANSFB","45.39","45.39","44.60","44.84","44.96","0.12","0.27","1,52,41,506","68.42","63.00","40.00","-9.60","7.79"
"HINDZINC","698.00","717.00","680.90","693.15","695.00","1.85","0.27","14,63,483","102.25","807.70","284.60","0.73","103.51"
"TECHM","1,461.35","1,478.95","1,460.15","1,461.35","1,465.20","3.85","0.26","8,07,698","118.50","1,498.00","1,082.30","6.08","26.41"
"STLTECH","138.51","141.80","137.70","139.09","139.45","0.36","0.26","25,03,733","35.03","179.05","109.50","10.52","-6.49"
"SYNGENE","730.05","735.75","723.70","731.95","733.70","1.75","0.24","9,67,842","70.67","860.25","607.65","5.29","-4.01"
"JUBLFOOD","570.00","577.00","564.10","570.55","571.90","1.35","0.24","20,15,301","115.08","586.95","421.05","10.04","15.67"
"VARROC","676.00","683.80","660.30","672.30","673.85","1.55","0.23","3,16,497","21.26","716.90","320.00","15.30","91.51"
"NCC","338.00","344.00","334.00","335.75","336.50","0.75","0.22","39,18,478","132.48","347.60","122.90","3.51","163.64"
"KFINTECH","754.95","766.90","747.45","751.10","752.70","1.60","0.21","2,62,885","19.86","822.00","350.55","5.08","110.57"
"UTIAMC","1,050.00","1,072.00","1,045.00","1,046.10","1,048.25","2.15","0.21","2,10,598","22.16","1,072.00","731.20","8.94","31.35"
"METROPOLIS","2,050.00","2,056.95","1,990.00","2,037.90","2,042.00","4.10","0.20","1,83,675","37.22","2,109.20","1,296.00","1.78","40.23"
"NAVINFLUOR","3,665.60","3,715.80","3,621.10","3,665.60","3,672.00","6.40","0.17","1,21,947","44.64","4,724.25","2,875.95","10.10","-19.12"
"BRITANNIA","5,555.00","5,615.95","5,534.05","5,546.80","5,556.45","9.65","0.17","1,71,210","95.40","5,725.00","4,347.70","1.52","9.74"
"BHARATFORG","1,682.95","1,693.25","1,646.25","1,672.25","1,675.10","2.85","0.17","14,98,080","249.70","1,804.50","839.00","5.62","98.38"
"DLF","832.80","839.75","828.05","832.80","834.20","1.40","0.17","12,02,880","100.34","967.60","463.05","-1.26","65.62"
"KOTAKBANK","1,854.00","1,857.25","1,835.45","1,852.70","1,855.80","3.10","0.17","38,61,203","714.13","1,987.75","1,543.85","5.65","-0.04"
"TMB","489.00","489.00","478.00","482.50","483.25","0.75","0.16","2,31,721","11.20","611.35","416.05","2.17","10.87"
"AXISBANK","1,285.00","1,297.40","1,279.60","1,287.05","1,289.00","1.95","0.15","42,16,951","542.25","1,310.00","927.15","8.45","31.78"
"ZFCVINDIA","15,799.00","15,799.00","15,441.30","15,728.35","15,750.00","21.65","0.14","13,136","20.51","18,250.00","11,684.05","-7.25","30.56"
"LODHA","1,548.00","1,556.90","1,530.10","1,533.90","1,536.00","2.10","0.14","12,02,449","186.24","1,649.95","641.05","7.02","118.93"
"FINEORG","5,342.30","5,500.00","5,281.00","5,342.70","5,350.00","7.30","0.14","95,184","51.33","5,500.00","4,021.00","19.07","11.10"
"LT","3,640.10","3,645.70","3,594.00","3,627.15","3,631.90","4.75","0.13","17,06,210","617.69","3,919.90","2,420.00","2.68","48.09"
"POWERGRID","341.00","341.00","336.85","339.40","339.80","0.40","0.12","78,28,162","265.41","348.70","177.53","9.71","32.86"
"GSPL","313.05","316.00","310.45","311.60","311.95","0.35","0.11","9,92,908","30.98","406.75","254.50","10.36","8.48"
"EQUITASBNK","92.90","93.30","90.99","92.10","92.19","0.09","0.10","32,26,373","29.65","116.50","82.10","-5.30","-1.97"
"PETRONET","337.05","339.50","333.10","337.40","337.70","0.30","0.09","19,14,779","64.39","341.00","191.70","12.00","46.82"
"CANFINHOME","886.60","898.00","875.00","886.90","887.45","0.55","0.06","4,04,409","35.86","938.00","680.00","14.54","14.58"
"NH","1,256.35","1,257.95","1,220.00","1,249.65","1,250.00","0.35","0.03","2,82,776","35.00","1,444.90","973.40","-1.11","23.86"
"KEC","910.45","910.55","892.00","900.65","900.75","0.10","0.01","3,60,522","32.36","968.80","550.05","17.22","50.99"
"TITAGARH","1,859.00","1,861.10","1,786.05","1,828.95","1,829.00","0.05","-","15,24,335","280.01","1,896.95","482.00","51.32","263.10"
"DALBHARAT","1,855.00","1,865.40","1,843.60","1,858.15","1,858.00","-0.15","-0.01","1,69,273","31.40","2,430.70","1,651.40","2.66","-13.44"
"ISEC","784.00","784.00","773.55","780.60","780.50","-0.10","-0.01","2,41,803","18.82","866.45","599.50","8.73","29.68"
"GNFC","714.00","722.40","706.50","714.10","714.00","-0.10","-0.01","16,35,317","116.75","814.90","532.00","10.48","19.43"
"CLEAN","1,514.00","1,519.95","1,480.05","1,510.30","1,510.00","-0.30","-0.02","1,46,284","21.95","1,622.00","1,243.00","14.40","11.06"
"COFORGE","5,917.95","5,975.35","5,752.65","5,870.15","5,868.00","-2.15","-0.04","7,50,011","440.22","6,847.45","4,287.25","8.08","25.12"
"MRF","1,29,174.00","1,31,230.50","1,28,058.95","1,28,951.05","1,28,900.05","-51.00","-0.04","20,120","261.14","1,51,445.00","1,00,043.50","1.31","27.39"
"KALYANKJIL","497.75","501.90","490.00","495.30","495.10","-0.20","-0.04","14,26,120","70.59","546.00","147.30","21.44","204.71"
"CONCORDBIO","1,694.90","1,702.50","1,655.00","1,683.70","1,683.00","-0.70","-0.04","44,187","7.41","1,745.00","900.05","15.84","-"
"ASTERDM","341.95","342.10","335.60","340.10","339.95","-0.15","-0.04","9,82,073","33.34","558.00","294.35","-5.58","8.17"
"MEDPLUS","674.00","675.00","665.00","669.30","669.00","-0.30","-0.04","1,28,244","8.58","978.00","598.60","-4.88","-18.43"
"HONAUT","58,500.00","58,500.00","56,411.95","57,581.05","57,550.00","-31.05","-0.05","4,047","23.19","59,994.00","34,977.70","10.06","34.70"
"KPITTECH","1,693.95","1,700.90","1,653.75","1,693.95","1,693.00","-0.95","-0.06","8,36,199","140.01","1,774.10","961.00","11.10","56.93"
"CYIENT","1,809.00","1,809.40","1,776.90","1,792.55","1,791.45","-1.10","-0.06","2,77,154","49.67","2,458.95","1,392.10","-6.87","20.98"
"DIXON","12,549.00","12,638.95","12,381.20","12,505.95","12,498.00","-7.95","-0.06","2,19,539","274.11","12,879.00","3,953.00","25.25","194.67"
"ZEEL","151.10","152.65","148.50","151.10","151.00","-0.10","-0.07","89,87,253","135.04","299.70","125.50","-3.30","-26.70"
"BALKRISIND","3,188.00","3,210.00","3,110.00","3,177.50","3,175.25","-2.25","-0.07","3,62,156","114.74","3,363.95","2,193.80","-0.76","33.00"
"SOBHA","2,025.00","2,074.95","2,009.00","2,021.20","2,019.00","-2.20","-0.11","76,639","15.61","2,155.35","531.07","-3.11","250.78"
"JKCEMENT","4,227.20","4,243.40","4,175.10","4,217.85","4,213.10","-4.75","-0.11","1,89,686","79.70","4,599.95","3,030.25","0.73","28.19"
"BIRLACORPN","1,603.80","1,608.05","1,547.00","1,593.15","1,591.25","-1.90","-0.12","1,25,634","19.78","1,802.00","1,060.55","7.90","30.75"
"APOLLOTYRE","527.10","533.50","520.00","524.35","523.70","-0.65","-0.12","20,84,124","109.84","557.90","365.00","8.10","25.40"
"ZOMATO","208.25","210.00","206.00","207.57","207.26","-0.31","-0.15","1,82,60,120","379.99","213.95","73.00","12.81","183.37"
"LTTS","5,150.00","5,160.00","5,067.05","5,125.40","5,117.40","-8.00","-0.16","1,40,578","71.75","5,873.35","3,821.70","6.78","29.98"
"BANDHANBNK","202.46","205.22","201.11","204.33","204.00","-0.33","-0.16","87,68,558","177.96","263.10","169.15","3.96","-11.26"
"DEVYANI","165.35","169.40","163.00","165.29","165.00","-0.29","-0.18","11,51,236","18.87","227.50","142.25","-3.93","-13.66"
"SUNTV","784.75","787.85","771.15","784.55","783.00","-1.55","-0.20","4,74,534","37.00","799.85","442.00","8.91","69.71"
"MOTILALOFS","556.95","561.00","544.25","551.70","550.55","-1.15","-0.21","6,25,049","34.46","722.00","179.80","-77.27","-23.54"
"CGPOWER","782.40","783.75","765.45","772.20","770.50","-1.70","-0.22","24,40,823","189.38","783.75","359.20","16.37","99.82"
"HINDALCO","703.65","705.90","691.65","699.15","697.60","-1.55","-0.22","26,36,146","184.06","715.25","417.15","2.76","65.40"
"IPCALAB","1,192.75","1,200.20","1,181.65","1,192.75","1,190.00","-2.75","-0.23","1,56,248","18.60","1,374.60","747.50","1.97","57.09"
"ZYDUSLIFE","1,164.90","1,184.15","1,154.45","1,162.45","1,159.55","-2.90","-0.25","17,66,921","206.55","1,184.15","567.75","10.10","99.65"
"INTELLECT","1,080.00","1,097.35","1,072.30","1,085.45","1,082.55","-2.90","-0.27","2,64,475","28.69","1,199.00","572.00","13.98","80.37"
"ZENSARTECH","744.50","744.60","722.60","737.20","735.00","-2.20","-0.30","9,79,753","71.82","782.50","382.40","9.51","89.93"
"ARE&M","1,704.00","1,745.00","1,655.15","1,694.65","1,689.35","-5.30","-0.31","13,34,803","226.77","1,775.95","599.00","20.95","-"
"NHPC","104.50","106.70","103.25","103.82","103.49","-0.33","-0.32","6,97,92,078","731.84","118.00","44.85","0.60","125.21"
"SAFARI","2,187.45","2,188.00","2,120.80","2,165.90","2,159.00","-6.90","-0.32","32,367","6.96","2,315.00","1,400.00","8.21","-27.18"
"LAURUSLABS","480.00","482.75","464.15","477.15","475.55","-1.60","-0.34","41,53,538","196.52","482.75","328.15","9.00","30.74"
"SBIN","859.75","865.00","853.50","859.75","856.75","-3.00","-0.35","1,03,59,800","889.42","912.00","543.20","3.59","44.84"
"DMART","4,860.00","4,935.20","4,820.00","4,853.10","4,836.00","-17.10","-0.35","7,06,765","345.19","5,219.00","3,491.25","2.23","27.41"
"CRISIL","4,284.00","4,287.30","4,215.00","4,269.00","4,253.80","-15.20","-0.36","23,401","9.95","5,268.50","3,660.70","4.95","11.63"
"HAVELLS","1,904.80","1,904.80","1,866.65","1,893.65","1,886.85","-6.80","-0.36","6,25,411","117.59","1,985.40","1,232.85","2.06","47.43"
"LICI","1,017.00","1,026.40","999.10","1,015.65","1,012.00","-3.65","-0.36","23,55,243","238.87","1,175.00","597.35","2.16","63.13"
"LTIM","5,421.70","5,459.65","5,347.25","5,421.70","5,402.05","-19.65","-0.36","1,98,972","107.30","6,442.00","4,513.55","8.93","6.01"
"CIEINDIA","617.95","618.95","603.90","612.15","609.90","-2.25","-0.37","4,21,030","25.57","618.95","406.80","10.64","14.87"
"TCS","4,022.00","4,031.25","3,978.05","4,011.80","3,997.00","-14.80","-0.37","17,58,882","702.82","4,254.75","3,250.10","3.03","20.50"
"TATAELXSI","7,061.00","7,095.95","7,012.40","7,054.45","7,028.00","-26.45","-0.37","84,065","59.10","9,200.00","6,411.20","-0.92","-6.46"
"PHOENIXLTD","3,739.05","3,805.00","3,707.75","3,754.10","3,740.00","-14.10","-0.38","2,66,744","99.98","3,945.00","1,553.00","16.36","132.52"
"TORNTPHARM","2,891.85","2,919.50","2,846.65","2,891.10","2,880.15","-10.95","-0.38","1,43,062","41.16","2,980.00","1,772.05","1.62","51.98"
"PIIND","3,765.15","3,795.10","3,730.10","3,788.50","3,774.00","-14.50","-0.38","4,75,219","178.50","4,040.00","3,220.00","4.01","0.61"
"MFSL","1,002.00","1,006.70","989.10","996.10","992.25","-3.85","-0.39","5,68,553","56.72","1,092.00","763.00","6.32","24.17"
"BALRAMCHIN","426.25","431.70","422.00","426.60","424.90","-1.70","-0.40","11,02,223","46.92","485.90","343.50","6.54","11.63"
